Grid X, Grid Y, Block X, Block Y, GPU Time, CPU Time, Initialization Time, Transfer from host to GPU, Transfer from GPU to host, Grid Dimensions, Block Dimensions
1, 1024, 1, 64, 0.07559, 3.124, 0.00156, 0.1271, 0.0001341
2, 512, 1, 64, 0.07563, 3.123, 0.001581, 0.1326, 0.0001307
4, 256, 1, 64, 0.07562, 3.12, 0.001581, 0.1357, 0.0001307
8, 128, 1, 64, 0.07562, 3.118, 0.001579, 0.1327, 0.0001315
16, 64, 1, 64, 0.07563, 3.142, 0.001575, 0.1361, 0.0001332
32, 32, 1, 64, 0.07562, 3.117, 0.001629, 0.1342, 0.0001352
64, 16, 1, 64, 0.07563, 3.123, 0.001574, 0.134, 0.00014
128, 8, 1, 64, 0.0756, 3.123, 0.001631, 0.1366, 0.0001325
256, 4, 1, 64, 0.07562, 3.105, 0.001617, 0.1326, 0.0001333
512, 2, 1, 64, 0.07565, 3.106, 0.001556, 0.1327, 0.0001311
1024, 1, 1, 64, 0.07564, 3.101, 0.001569, 0.1335, 0.0001362
1, 512, 1, 128, 0.07214, 3.102, 0.001555, 0.1365, 0.0001336
2, 256, 1, 128, 0.07218, 3.124, 0.001572, 0.1312, 0.000131
4, 128, 1, 128, 0.07206, 3.102, 0.001577, 0.1248, 0.0001741
8, 64, 1, 128, 0.07215, 3.126, 0.001563, 0.1383, 0.0001319
16, 32, 1, 128, 0.07218, 3.13, 0.001555, 0.1345, 0.0001326
32, 16, 1, 128, 0.07216, 3.128, 0.001543, 0.132, 0.0001323
64, 8, 1, 128, 0.07208, 3.123, 0.001623, 0.1334, 0.0001337
128, 4, 1, 128, 0.07214, 3.12, 0.001573, 0.1344, 0.0001294
256, 2, 1, 128, 0.07216, 3.118, 0.001566, 0.1232, 0.0001418
512, 1, 1, 128, 0.07213, 3.108, 0.001564, 0.1256, 0.0001376
1, 256, 1, 256, 0.0658, 3.114, 0.001551, 0.1346, 0.0001304
2, 128, 1, 256, 0.06583, 3.11, 0.001567, 0.1373, 0.0001305
4, 64, 1, 256, 0.06581, 3.103, 0.001601, 0.1347, 0.0001314
8, 32, 1, 256, 0.06584, 3.107, 0.00158, 0.135, 0.0001334
16, 16, 1, 256, 0.06584, 3.107, 0.00157, 0.1341, 0.0001303
32, 8, 1, 256, 0.06587, 3.106, 0.001569, 0.1238, 0.0001359
64, 4, 1, 256, 0.06587, 3.109, 0.00157, 0.133, 0.0001355
128, 2, 1, 256, 0.06588, 3.103, 0.00158, 0.1311, 0.0001353
256, 1, 1, 256, 0.06591, 3.104, 0.00156, 0.1255, 0.0001297
1, 128, 1, 512, 0.06618, 3.127, 0.001576, 0.126, 0.0001415
2, 64, 1, 512, 0.06623, 3.119, 0.001618, 0.1392, 0.0001431
4, 32, 1, 512, 0.06625, 3.105, 0.001562, 0.1335, 0.0001361
8, 16, 1, 512, 0.06624, 3.103, 0.001564, 0.1238, 0.0001399
16, 8, 1, 512, 0.06606, 3.114, 0.001553, 0.1343, 0.0001327
32, 4, 1, 512, 0.06627, 3.107, 0.001568, 0.1278, 0.0001311
64, 2, 1, 512, 0.06624, 3.1, 0.001574, 0.1365, 0.0001411
128, 1, 1, 512, 0.0662, 3.129, 0.001579, 0.1337, 0.0001338
1, 64, 1, 1024, 0.06627, 3.128, 0.00158, 0.1379, 0.0001304
2, 32, 1, 1024, 0.06627, 3.122, 0.001593, 0.1366, 0.0001313
4, 16, 1, 1024, 0.06625, 3.122, 0.00157, 0.1369, 0.0001359
8, 8, 1, 1024, 0.06624, 3.145, 0.001572, 0.1344, 0.0001309
16, 4, 1, 1024, 0.06625, 3.126, 0.001577, 0.1356, 0.0001351
32, 2, 1, 1024, 0.06628, 3.127, 0.001573, 0.136, 0.0001309
64, 1, 1, 1024, 0.06624, 3.125, 0.001574, 0.1369, 0.0001318
1, 32, 1, 2048, 0.06886, 3.108, 0.001583, 0.1384, 0.0001319
2, 16, 1, 2048, 0.07179, 3.105, 0.001572, 0.1342, 0.0001333
4, 8, 1, 2048, 0.07178, 3.119, 0.00157, 0.136, 0.0001313
8, 4, 1, 2048, 0.06878, 3.128, 0.001572, 0.1363, 0.0001303
16, 2, 1, 2048, 0.06881, 3.106, 0.001574, 0.1354, 0.0001323
32, 1, 1, 2048, 0.06879, 3.141, 0.001575, 0.1355, 0.0001351
1, 16, 1, 4096, 0.1314, 3.11, 0.001567, 0.1344, 0.0001343
2, 8, 1, 4096, 0.1315, 3.105, 0.001576, 0.1366, 0.0001457
4, 4, 1, 4096, 0.1314, 3.108, 0.001584, 0.136, 0.0001313
8, 2, 1, 4096, 0.1315, 3.146, 0.001559, 0.1373, 0.0001388
16, 1, 1, 4096, 0.1314, 3.104, 0.001569, 0.1388, 0.0001343
1, 8, 1, 8192, 0.2318, 3.106, 0.001577, 0.1357, 0.0001273
2, 4, 1, 8192, 0.2315, 3.111, 0.001592, 0.1391, 0.0001317
4, 2, 1, 8192, 0.2319, 3.102, 0.001579, 0.1346, 0.0001353
8, 1, 1, 8192, 0.232, 3.112, 0.001561, 0.1356, 0.0001307
1, 4, 1, 16384, 0.4223, 3.112, 0.001576, 0.1385, 0.0001355
2, 2, 1, 16384, 0.4251, 3.105, 0.001568, 0.1247, 0.0001298
4, 1, 1, 16384, 0.4216, 3.117, 0.001576, 0.1382, 0.0001308
1, 2, 1, 32768, 0.8043, 3.109, 0.00157, 0.1344, 0.0001401
2, 1, 1, 32768, 0.8041, 3.155, 0.001561, 0.1365, 0.0001383
1, 1024, 2, 32, 0.07593, 3.11, 0.001562, 0.1359, 0.0001284
2, 512, 2, 32, 0.07591, 3.106, 0.001559, 0.1337, 0.0001327
4, 256, 2, 32, 0.07594, 3.115, 0.001765, 0.1358, 0.000131
8, 128, 2, 32, 0.07588, 3.107, 0.001566, 0.1389, 0.0001293
16, 64, 2, 32, 0.07573, 3.12, 0.001568, 0.1338, 0.0001311
32, 32, 2, 32, 0.07566, 3.116, 0.001572, 0.1359, 0.0001308
64, 16, 2, 32, 0.07565, 3.127, 0.001572, 0.1347, 0.0001328
128, 8, 2, 32, 0.07566, 3.113, 0.001566, 0.1379, 0.0001416
256, 4, 2, 32, 0.07564, 3.099, 0.00157, 0.1412, 0.0001311
512, 2, 2, 32, 0.07565, 3.109, 0.001572, 0.1373, 0.0001312
1024, 1, 2, 32, 0.07565, 3.107, 0.001575, 0.1351, 0.0001287
1, 512, 2, 64, 0.07249, 3.102, 0.001692, 0.1371, 0.0001443
2, 256, 2, 64, 0.07248, 3.106, 0.001575, 0.135, 0.0001324
4, 128, 2, 64, 0.07252, 3.111, 0.001569, 0.1368, 0.0001329
8, 64, 2, 64, 0.07246, 3.105, 0.001582, 0.1257, 0.0001318
16, 32, 2, 64, 0.07221, 3.106, 0.001574, 0.1344, 0.0001287
32, 16, 2, 64, 0.07218, 3.108, 0.001935, 0.1364, 0.0001304
64, 8, 2, 64, 0.07217, 3.116, 0.001563, 0.1307, 0.0001317
128, 4, 2, 64, 0.07218, 3.108, 0.001583, 0.1345, 0.0001425
256, 2, 2, 64, 0.07212, 3.108, 0.001572, 0.1317, 0.0001327
512, 1, 2, 64, 0.0722, 3.108, 0.001571, 0.1343, 0.0001322
1, 256, 2, 128, 0.06614, 3.119, 0.00156, 0.1338, 0.0001335
2, 128, 2, 128, 0.06616, 3.106, 0.001578, 0.1362, 0.0001353
4, 64, 2, 128, 0.06616, 3.129, 0.001578, 0.1348, 0.000132
8, 32, 2, 128, 0.0661, 3.104, 0.001569, 0.1343, 0.0001316
16, 16, 2, 128, 0.06589, 3.106, 0.001571, 0.1318, 0.0001298
32, 8, 2, 128, 0.06586, 3.118, 0.001565, 0.1262, 0.0001299
64, 4, 2, 128, 0.06588, 3.106, 0.001631, 0.1341, 0.0001353
128, 2, 2, 128, 0.06583, 3.109, 0.001577, 0.1372, 0.0001319
256, 1, 2, 128, 0.06586, 3.106, 0.00163, 0.1398, 0.0001414
1, 128, 2, 256, 0.06647, 3.118, 0.001574, 0.1349, 0.0001252
2, 64, 2, 256, 0.06645, 3.119, 0.001576, 0.1346, 0.000128
4, 32, 2, 256, 0.06648, 3.109, 0.00157, 0.136, 0.0001366
8, 16, 2, 256, 0.06646, 3.112, 0.00157, 0.1382, 0.0001302
16, 8, 2, 256, 0.06628, 3.125, 0.001692, 0.1324, 0.0001326
32, 4, 2, 256, 0.06626, 3.126, 0.001568, 0.1354, 0.0001297
